Genus_Species,Diet Breakdown Sheet Species,Synonyms,Genus_Species_Isler,Order,Suborder,Infraorder,Parvorder,Superfamily,Family,Subfamily,Species.group,High.Quality.,Subspecies,Data.quality..ok.if._.4.individuals..at.least.2m.and.2f.in.anthropoids.,Calculation.of.ECV.species.mean,Source.of.ECV,Source.of.body.mass,ECV.male.mean,ECV.female.mean,ECV.species.mean,N.ECV.male,N.ECV.female,N.ECV.species,Body.mass.male.mean,Body.mass.female.mean,Body.mass.species.mean,N.body.mass.male,N.body.mass.female,N.body.mass.species,N_Var_Total,N_Var_Male,N_Var_Female,Sp_Var_ln_ECV,M_Var_ln_ECV,F_Var_ln_ECV,Sp_Var_ln_BoM,M_Var_ln_BoM,F_Var_ln_BoM,predict.sp.ECV,predict.sp.BoM,predict.M.ECV,predict.M.BoM,predict.F.ECV,predict.F.BoM,true.sp.ECV,true.sp.BoM,true.M.ECV,true.M.BoM,true.F.ECV,true.F.BoM,H_Ni.sp,H_Ni.M,H_Ni.F,K.sp.ECV,K.sp.BoM,K.M.ECV,K.M.BoM,K.F.ECV,K.sp.BoM.1,avg_s2.sp.ECV,avg_s2.sp.BoM,avg_s2.M.ECV,avg_s2.M.BoM,avg_s2.F.ECV,avg_s2.F.BoM,var_s2.sp.ECV,var_s2.sp.BoM,var_s2.M.ECV,var_s2.M.BoM,var_s2.F.ECV,var_s2.F.BoM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cebus_xanthosternos,Cebus_xanthosternos,,Cebus_xanthosternos,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Cebidae,Cebinae,Cebus apella group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",68.17,64,66.09,8,3,11,2714,2167,2440,7,3,10,10,7,3,0.003569451,0.004362538,0.009915266,0.010005982,0.037664311,0.002359616,0.003516665,0.014232906,0.006817574,0.041788801,0.007448974,0.025009381,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.390112839,0.593531259,0.114769318,0.492104123,0.107440203,0.593531259,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leontopithecus_rosalia,Leontopithecus_rosalia,,Leontopithecus_rosalia,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Cebidae,Callitrichinae,NA,Y,NA,ok,m/f,This study,Smith and Jungers 1997,13,12.67,12.83,5,7,12,620,598,609,50,30,80,1,1,0,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saguinus_fuscicollis,Saguinus_fuscicollis,,Saguinus_fuscicollis,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Cebidae,Callitrichinae,Saguinus nigricollis group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements (wild)",7.84,8.03,7.94,18,13,31,405,397,401,12,9,21,21,12,9,0.001757211,0.004351961,0.002676884,0.01636283,0.025520261,0.039931059,0.002469882,0.017315095,0.006601237,0.032819388,0.005697632,0.038214336,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.587022434,0.764424274,0.192043194,0.639812324,0.325005002,0.764424274,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saguinus_geoffroyi,Saguinus_geoffroyi,,Saguinus_geoffroyi,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Cebidae,Callitrichinae,Saguinus oedipus group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",10.08,10.19,10.14,13,11,24,499,534,517,9,7,16,16,9,7,0.00260112,0.006861044,0.003543436,0.001927594,0.004435522,0.003274854,0.00302791,0.007308839,0.007095362,0.022477299,0.006194683,0.016881678,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.515991468,0.708768088,0.147387246,0.563676346,0.265310567,0.708768088,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saguinus_leucopus,Saguinus_leucopus,,Saguinus_leucopus,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Cebidae,Callitrichinae,Saguinus oedipus group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",9.79,9.61,9.7,6,6,12,510,539,525,2,1,3,3,2,1,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saguinus_midas,Saguinus_midas,,Saguinus_midas,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Cebidae,Callitrichinae,Saguinus midas group,N,NA,ok,m/f,This study,Gordon 2006,9.59,9.98,9.78,8,7,15,535,591,563,19,13,32,3,1,2,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saguinus_mystax,Saguinus_mystax,,Saguinus_mystax,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Cebidae,Callitrichinae,Saguinus mystax group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",11.19,10.99,11.09,6,2,8,629,538,584,6,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saguinus_niger,Saguinus_niger,,Saguinus_niger,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Cebidae,Callitrichinae,Saguinus midas group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",9.34,9.62,9.48,4,3,7,380,370,375,2,1,3,3,2,1,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saguinus_oedipus,Saguinus_oedipus,,Saguinus_oedipus,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Cebidae,Callitrichinae,Saguinus oedipus group,Y,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",9.59,9.92,9.76,32,18,50,417,445,431,31,18,49,48,30,18,0.002670812,0.005948167,0.004735082,0.010351475,0.016158841,0.025247058,0.002857913,0.011517039,0.006678324,0.021371921,0.005929749,0.027307978,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.769605519,0.88406551,0.38523472,0.824038239,0.505726524,0.88406551,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saimiri_oerstedii,Saimiri_oerstedii,,Saimiri_oerstedii,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Cebidae,Saimiriinae,Saimiri sciureus group,N,NA,ok,m/f,This study,Gordon 2006,24.61,25.52,25.07,9,6,15,897,680,789,11,7,18,4,4,0,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saimiri_sciureus,Saimiri_sciureus,,Saimiri_sciureus,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Cebidae,Saimiriinae,Saimiri sciureus group,Y,NA,ok,m/f,This study,"average of subspecies, this study, same specimens as ECV measurements",24.26,24.02,24.14,49,39,88,855,742,799,44,32,76,76,44,32,0.005394578,0.011308127,0.010270186,0.016780916,0.038743484,0.028380179,0.005092595,0.017056135,0.009145384,0.039629902,0.009182146,0.029232942,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.842032009,0.924060908,0.481637402,0.87411625,0.651055261,0.924060908,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allenopithecus_nigroviridis,Allenopithecus_nigroviridis,Cercopithecus nigroviridis,Allenopithecus_nigroviridis,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,NA,N,NA,ok,m/f,Pooled (this study and Verheyen 1962),Smith and Jungers 1997,62.35,53.7,58.02,6,7,13,6130,3180,4655,5,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercocebus_torquatus,Cercocebus_torquatus,,Cercocebus_torquatus,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,NA,N,NA,ok,m/f,This study,Smith and Jungers 1997,117,94.98,105.99,4,3,7,9470,5500,7485,9,1,10,1,1,0,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercocebus_torquatus_atys,Cercocebus_torquatus_atys,,Cercocebus_atys,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,NA,Y,NA,ok,m/f,This study,Smith and Jungers 1997,102.55,86.8,94.68,10,10,20,11000,6200,8600,3,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercopithecus_albogularis,Cercopithecus_albogularis,Cercopithecus_mitis_albogularis,Cercopithecus_albogularis,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Cercopithecus mitis group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",74.04,66.16,70.1,16,17,33,6978,4262,5620,15,16,31,31,15,16,0.006548829,0.008888271,0.017307046,0.045165584,0.099664271,0.080998065,0.005569974,0.040945563,0.00754287,0.083140877,0.011970197,0.070467293,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.680731361,0.829566157,0.2322542,0.693325302,0.474458241,0.829566157,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercopithecus_ascanius,Cercopithecus_ascanius,,Cercopithecus_ascanius,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Cercopithecus cephus group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",64.25,54.9,59.58,16,7,23,4528,2901,3714,12,3,15,15,12,3,0.003345801,0.007910846,0.005472357,0.020332727,0.063634095,0.017696815,0.003414522,0.020354856,0.007284696,0.057205089,0.006971627,0.029750105,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.498748708,0.694324555,0.192043194,0.639812324,0.107440203,0.694324555,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercopithecus_campbelli,Cercopithecus_campbelli,,Cercopithecus_campbelli,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Cercopithecus mona group,N,NA,ok,m/f,This study,Smith and Jungers 1997,60.38,54.39,57.39,14,19,33,4500,2700,3600,10,9,19,13,4,9,0.005675984,0.007627746,0.01507619,0.007983902,0.018486986,0.013448623,0.004492366,0.01219884,0.007165812,0.036876285,0.009727468,0.021226169,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.460294813,0.66066631,0.06087813,0.326351528,0.325005002,0.66066631,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercopithecus_campbelli_lowei,Cercopithecus_campbelli_lowei,,Cercopithecus_lowei,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Cercopithecus mona group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",60.09,51.19,55.64,9,6,15,4278,2097,3187,9,6,15,15,9,6,0.005128329,0.006456495,0.014056819,0.010305956,0.003450002,0.037773821,0.004303556,0.013393022,0.007035736,0.021921785,0.008749304,0.036531733,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.498748708,0.694324555,0.147387246,0.563676346,0.231320781,0.694324555,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercopithecus_cephus,Cercopithecus_cephus,,Cercopithecus_cephus,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Cercopithecus cephus group,Y,NA,ok,m/f,This study,Smith and Jungers 1997,68.84,61.69,65.26,13,13,26,4290,2880,3585,15,10,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercopithecus_diana,Cercopithecus_diana,,Cercopithecus_diana,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Cercopithecus diana group,N,NA,ok,m/f,This study,Smith and Jungers 1997,70.07,55.15,62.61,10,10,20,5200,3900,4550,4,11,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercopithecus_lhoesti,Cercopithecus_lhoesti,,Cercopithecus_lhoesti,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Cercopithecus lhoesti group,N,NA,ok,m/f,Verheyen 1962,Smith and Jungers 1997,81.1,67.3,74.2,10,7,17,5970,3450,4710,19,50,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercopithecus_mitis,Cercopithecus_mitis,,Cercopithecus_mitis,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Cercopithecus mitis group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",77.43,65.24,71.33,9,9,18,7591,4628,6109,8,8,16,16,8,8,0.002059646,0.004255386,0.0039832,0.021355293,0.069205711,0.016215461,0.002748514,0.021078572,0.006757417,0.058212119,0.006212769,0.023592505,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.515991468,0.708768088,0.131384388,0.530602837,0.296421694,0.708768088,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercopithecus_mona,Cercopithecus_mona,,Cercopithecus_mona,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Cercopithecus mona group,N,NA,ok,m/f,This study,"Fa 1997 (female), this study, same specimens as ECV measurements (male)",65.93,57.75,61.84,4,2,6,4705,2733,3719,4,2,6,3,3,0,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercopithecus_neglectus,Cercopithecus_neglectus,,Cercopithecus_neglectus,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Cercopithecus neglectus group,N,NA,ok,m/f,Pooled (this study and Verheyen 1962),Gordon 2006,71.08,60.86,65.97,17,12,29,7350,4130,5450,6,6,12,4,2,2,0.000718176,0.002038385,0.000834317,0.003539654,0.001205082,0.012953535,0.002997016,0.014883594,0.007028049,0.039586967,0.00679344,0.031086315,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.17574437,0.327386501,0.021151138,0.139032911,0.05676978,0.327386501,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercopithecus_nictitans,Cercopithecus_nictitans,,Cercopithecus_nictitans,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Cercopithecus mitis group,N,NA,ok,m/f,This study,Smith and Jungers 1997,74.73,67.52,71.13,10,10,20,6670,4260,5465,33,30,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercopithecus_petaurista,Cercopithecus_petaurista,,Cercopithecus_petaurista,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Cercopithecus cephus group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",58.08,52.07,55.08,17,22,39,4300,2918,3609,7,11,18,18,7,11,0.003663335,0.005868964,0.008784378,0.013949734,0.0178084,0.037990535,0.003581625,0.015667422,0.006990465,0.032017625,0.007765392,0.037110598,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.547147223,0.733913869,0.114769318,0.492104123,0.375727892,0.733913869,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercopithecus_pogonias,Cercopithecus_pogonias,,Cercopithecus_pogonias,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Cercopithecus mona group,N,NA,ok,m/f,This study,Smith and Jungers 1997,62.57,56.56,59.56,9,3,12,4260,2900,3580,5,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercopithecus_wolfi,Cercopithecus_wolfi,,Cercopithecus_wolfi,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Cercopithecus mona group,N,NA,ok,m/f,Verheyen 1962,Smith and Jungers 1997,65.7,57.2,61.45,10,10,20,3910,2870,3390,17,120,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chlorocebus_aethiops,Chlorocebus_aethiops,,Chlorocebus_aethiops,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,NA,N,NA,ok,m/f,"Hopf and Claussen 1970 (fresh brain weights, wild animals from Eritrea)","This study, same specimens as ECV measurements",71,59,65,12,41,53,4400,3039,3720,12,41,53,1,0,1,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
